participantN,age,gender,trialN,task,condition,FeatConj,setSize,proportion,timelimit,stType,imgName,timeTS,timeRel,runLength,runTest,touchTS,runN,runNH,stPosX,stPosY,col,row,touchX,touchY,touchDist,targDist,touchN,error,switches,changeScreen,resp_pos,group_selected,group_same,group_switch,strict_line,blocked_grouped,ratio,run_length,cl_same,cl_other,cl_blue,cl_yellow
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,6293.37175001274,266.681000008248,4,0,6273.09,6,0,390.322829285151,189.003019943167,3.0,1.0,385.5,184.5,70.9383535190943,80.0519869982934,16,0,0,2,"[390.32, 189.0]",6,4,2,0,0,-0.0321846833714012,2.0,69.08269320169848,204.58365159513602,76.49448869036253,119.43575888317537
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,6476.6771249997,183.305374986958,5,0,6456.4,6,0,459.404021340602,189.605900226395,4.0,1.0,457.0,195.0,64.9191805247109,69.0838227115285,17,0,0,2,"[459.4, 189.61]",4,6,4,0,0,-0.0669467896306132,3.0,69.08269320169848,251.68572565801182,81.26156410013284,71.97600155607425
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,6726.86537500704,250.188250007341,6,6,6706.45,6,0,557.746839466928,204.974759490342,5.0,1.0,556.0,211.0,87.3169513897502,99.5364843266166,18,0,0,2,"[557.75, 204.97]",4,4,4,0,0,-0.104735350520013,4.0,99.54221265372799,152.92264842069662,101.04229460973262,64.30726242035186
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,7360.17629166599,633.310916658957,1,0,7338.83,7,0,619.347899868654,425.876528275479,6.0,4.0,625.5,406.5,208.405854044458,229.330072373903,19,0,1,2,"[619.35, 425.88]",0,0,0,0,0,0.1047353505200129,5.0,85.30473199066984,70.02153954320055,55.510651230191854,76.15386070318434
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,7676.83645832585,316.660166659858,2,0,7656.62,7,0,580.181881423006,501.661113628624,5.0,5.0,576.5,496.0,87.8179936004006,85.3069773115471,20,0,0,2,"[580.18, 501.66]",0,0,0,0,0,0.0725506671486117,0.0,85.30473199066984,105.8112040381358,61.197213171843124,134.55791689826358
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,7926.77420834661,249.937750020763,3,0,7890.19,7,0,485.86908599828,515.380309246523,4.0,5.0,504.5,523.0,74.7261667690776,95.305402308728,21,0,0,2,"[485.87, 515.38]",0,0,0,0,0,0.0377885608893997,1.0,72.1667492686209,118.73266820888011,62.636351266656696,108.07788395411893
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,8160.70037501049,233.926166663878,4,0,8140.09,7,0,456.213006956391,581.169543977103,4.0,6.0,463.0,588.5,70.515955641259,72.1644402082773,22,0,0,2,"[456.21, 581.17]",0,0,0,0,0,0.0,2.0,72.1667492686209,59.56510723569638,75.54954136194344,104.81253217053764
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,8426.81291667395,266.11254166346,5,0,8406.55,7,0,580.13432381167,665.768213784566,5.0,7.0,590.0,681.0,146.909836294239,150.044752338556,23,0,0,2,"[580.13, 665.77]",0,0,0,0,0,-0.041392685158225,3.0,86.13843799373197,101.64309519096707,93.5284945885477,120.56582683331133
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,8877.0222083258,450.209291651845,6,0,8856.6,7,0,662.196739896203,639.607630979504,6.0,7.0,669.0,636.5,85.0881895447306,86.1313893208025,24,0,0,2,"[662.2, 639.61]",0,0,0,0,0,-0.0871501757189001,4.0,152.8695319545396,178.7352592523367,67.55156844959266,51.1759484523736
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,9426.94058333291,549.91837500711,7,7,9406.71,7,0,726.974807748084,501.135436365392,7.0,5.0,731.5,508.5,139.410365468282,152.874938285748,25,0,0,2,"[726.97, 501.14]",0,0,0,0,0,-0.1383026981662814,5.0,131.3245293157375,83.51128426745693,92.90570918947877,94.87739931090019
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,9743.60629168223,316.665708349319,1,0,9723.29,8,0,703.8556084027,420.893941133706,7.0,4.0,713.5,427.5,81.3203541556479,83.5056581040373,26,0,1,2,"[703.86, 420.89]",1,2,2,0,0,0.1549019599857432,6.0,130.60971671357385,58.722391810960794,88.40910021032903,142.78893234421213
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,10243.9001666789,500.293874996714,2,0,10223.27,8,0,554.714652275259,398.958798749941,5.0,4.0,554.0,405.0,154.797448299382,150.745398821998,27,0,0,2,"[554.71, 398.96]",1,1,2,0,0,0.109144469425068,0.0,150.75359829868074,70.02153954320055,88.4354255940458,35.24939857642961
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,10760.4013750097,516.501208330737,3,0,10740.35,8,0,662.85332903554,245.965854908772,6.0,2.0,660.5,250.5,186.660788597927,187.352113082964,28,0,0,2,"[662.85, 245.97]",2,4,4,0,0,0.0579919469776867,1.0,112.81405054336098,63.57957533673841,58.92772267787034,79.34825580943796
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,11176.9942500105,416.592875000788,4,4,11156.68,8,0,622.658287109928,108.552688228808,6.0,0.0,631.0,110.5,138.139422323969,143.171295211076,29,0,0,2,"[622.66, 108.55]",2,4,4,0,0,0.0,2.0,116.23306113150421,129.88391162880797,186.8124021578867,43.97031953488619
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,11593.7816666847,416.787416674197,1,0,11573.51,9,0,710.673562329826,204.066043706643,7.0,1.0,717.0,203.5,128.056628098666,129.882599861066,30,0,1,2,"[710.67, 204.07]",0,0,0,0,0,0.0,3.0,114.20908764192112,63.57957533673841,66.19158934487072,89.64135039143487
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,11910.4500416724,316.668374987785,2,0,11890.42,9,0,824.583556894578,195.809613777484,8.0,1.0,821.0,204.5,97.0012886512339,114.208824076412,31,0,0,2,"[824.58, 195.81]",0,0,0,0,0,-0.0669467896306132,0.0,114.20908764192112,91.62037437164287,76.2637318782657,93.1279936431576
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,12577.1431666799,666.693125007441,3,3,12556.78,9,0,706.342132853733,362.2197436297,7.0,3.0,708.0,367.0,198.324229482935,204.140553728646,32,0,0,2,"[706.34, 362.22]",0,0,0,0,0,-0.146128035678238,1.0,107.79543450443528,58.722391810960794,74.77852231757464,115.1714882251679
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,12994.0263750032,416.88320832327,1,1,12973.61,10,0,814.05012753895,291.887543904491,8.0,2.0,821.5,301.0,121.433109158911,128.637593406039,33,0,1,2,"[814.05, 291.89]",1,2,2,1,0,0.1760912590556812,2.0,156.04959468066556,87.20125744506218,99.82195199453874,43.95577436469526
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,13327.1606666676,333.134291664464,1,1,13306.87,11,0,873.577482661287,355.611994887733,9.0,3.0,879.5,368.0,88.090862182181,87.2027044361378,34,0,1,2,"[873.58, 355.61]",0,0,0,0,0,-0.1760912590556812,0.0,167.1437704492752,69.53747550781516,101.25890232468453,58.68588245907194
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,13627.2191666649,300.058499997249,1,0,13606.91,12,0,910.666208283818,414.433428674036,9.0,4.0,912.5,416.0,57.8316522330116,69.53800860666,35,0,1,2,"[910.67, 414.43]",2,2,2,0,0,0.2218487496163564,0.0,109.8796232246907,69.53747550781516,98.10426800093872,121.33916474082059
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,13927.1015833365,299.882416671608,2,0,13890.55,12,0,821.206084370401,478.225199661336,8.0,5.0,816.0,491.5,117.755042354882,109.874946263013,36,0,0,2,"[821.21, 478.23]",2,2,2,0,0,0.1249387366082999,0.0,109.8796232246907,96.9847704539223,50.36248206750737,98.64918499409912
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,14560.5029166618,333.313291659579,3,3,14540.59,12,0,911.687070871059,598.518517706101,9.0,6.0,918.0,616.0,14.396180048888,150.523391153505,38,0,0,2,"[911.69, 598.52]",1,2,1,0,0,0.0,1.0,150.5201464920892,48.08189056183209,86.84815311795634,105.73728197755044
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,14794.0167500055,233.51383334375,1,0,14773.61,13,0,906.401132489583,646.307779860364,9.0,7.0,906.0,656.5,43.8320658878862,48.0807104962235,39,0,1,2,"[906.4, 646.31]",0,0,0,0,0,0.0,2.0,75.90210800761722,48.08189056183209,134.92732451212385,120.61406966021829
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,15027.2497500118,233.233000006294,2,2,15007.0,13,0,831.201619589978,636.009209241644,8.0,7.0,826.5,631.0,76.5277727364386,75.9014314563732,40,0,0,2,"[831.2, 636.01]",0,0,0,0,0,-0.1760912590556812,0.0,75.90210800761722,88.79268100468643,152.51837561421897,64.16860447290408
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,16260.7952916587,467.074999993201,1,0,16240.69,14,0,886.388982200394,128.182164677785,9.0,0.0,884.5,131.5,150.0299970006,510.816945864521,42,0,1,2,"[886.39, 128.18]",1,1,3,0,0,0.3010299956639812,1.0,141.2377640717949,91.62037437164287,73.71236124287434,73.34595967059127
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,16677.2252499941,416.429958335357,2,2,16640.7,14,14,748.412920283837,98.0158053732384,7.0,0.0,742.0,103.0,147.401662134455,141.235274969438,43,0,0,2,"[748.41, 98.02]",1,2,4,0,0,0.0,0.0,126.19010817017315,112.56513714290051,174.87636604184115,69.28561899846174
